Rank,Player,PTS,From,To,Last School,
1,Caitlin Clark,3951,2021,2024,Iowa,
2,Kelsey Plum,3527,2014,2017,Washington,
3,Dyaisha Fair,3403,2020,2024,Syracuse,
4,Kelsey Mitchell,3402,2015,2018,Ohio State,
5,Jackie Stiles,3393,1998,2001,Missouri State,
6,Brittney Griner,3283,2010,2013,Baylor,
7,Jerica Coley,3107,2011,2014,Florida International,
8,Rachel Banham,3093,2012,2016,Minnesota,
9,Ashley Joens,3060,2019,2023,Iowa State,
10,Elena Delle Donne,3039,2010,2013,Delaware,
11,Maya Moore,3036,2008,2011,Connecticut,
12,Chamique Holdsclaw,3025,1996,1999,Tennessee,
13,Cindy Blodgett,3005,1995,1998,Maine,
14,LaToya Thomas,2981,2000,2003,Mississippi State,
15,Kelly Mazzante,2919,2001,2004,Penn State,
16,Kyla McMakin,2899,2020,2024,Saint Louis,
17,Maddy Siegrist,2896,2020,2023,Villanova,
18,Jess Kovatch,2874,2016,2019,Saint Francis (PA),
19,Kevi Luper,2867,2010,2013,Oral Roberts,
20,Heather Butler,2865,2011,2014,Tennessee-Martin,
,Alysha Clark,2865,2006,2010,Middle Tennessee,
22,Cierra Hooks,2843,2018,2022,Ohio,
23,Andrea Riley,2835,2007,2010,Oklahoma State,
24,Jantel Lavender,2818,2008,2011,Ohio State,
25,Megan Gustafson,2804,2016,2019,Iowa,
26,Crystal Kelly,2803,2005,2008,Western Kentucky,
27,Andrea Congreaves,2796,1990,1993,Mercer,
28,Angel McCoughtry,2779,2006,2009,Louisville,
29,Katelynn Flaherty,2776,2015,2018,Michigan,
30,Becky Hammon,2740,1996,1999,Colorado State,
31,Chiney Ogwumike,2737,2011,2014,Stanford,
32,Courtney Paris,2731,2006,2009,Oklahoma,
33,Elizabeth Kitley,2709,2020,2024,Virginia Tech,
34,Seimone Augustus,2702,2003,2006,Louisiana State,
35,Chandi Jones,2692,2001,2004,Houston,
36,Alana Beard,2687,2001,2004,Duke,
37,Kim Demmings,2677,2012,2016,Wright State,
38,Breanna Stewart,2676,2013,2016,Connecticut,
39,Dawn Evans,2667,2008,2011,James Madison,
40,Korie Hlede,2631,1995,1998,Duquesne,
41,Candice Wiggins,2629,2005,2008,Stanford,
42,Arike Ogunbowale,2626,2016,2019,Notre Dame,
43,Chantelle Anderson,2604,2000,2003,Vanderbilt,
44,Wendy Scholtens,2602,1988,1991,Vanderbilt,
45,Anita Maxwell,2601,1993,1996,New Mexico State,
46,Kristine Anigwe,2591,2016,2019,California,
47,Gabriela Marginean,2581,2007,2010,Drexel,
,Damika Martinez,2581,2012,2015,Iona,
49,Katie Smith,2578,1993,1996,Ohio State,
50,Jasmine Newsome,2566,2011,2014,Tennessee-Martin,
